"Oxygenmgl_oxygen","EncCoeff_brains","habitat_breadth","range_area","diet_breadth","FoodIdetritus_fooditems","FoodInekton_fooditems","FoodIothers_fooditems","FoodIplants_fooditems","FoodIzoobenthos_fooditems","FoodIzooplankton_fooditems","Species","haddock_score_mean"
NA,NA,0.333333333333333,85965381.2624665,0.333333333333333,"0","0","0","1","0","1","Acanthochromis polyacanthus",-120.65368
NA,2.30153991741225,0.0833333333333333,62999554.2503448,0.833333333333333,"0","1","1","1","1","1","Amblyraja radiata",-127.13681
NA,NA,0.25,85965381.2624665,0.833333333333333,"1","1","0","1","1","1","Amphiprion ocellaris",-120.615436
7.26046511627907,NA,0.5,39378816.7750464,0.833333333333333,"1","1","0","1","1","1","Anabas testudineus",-148.27299
NA,NA,0.166666666666667,86631265.0441388,0.333333333333333,"0","1","0","0","1","0","Anarrhichthys ocellatus",-135.73343
NA,NA,0.166666666666667,23730757.5450827,NA,NA,NA,NA,NA,NA,NA,"Archocentrus centrarchus",-140.53076
NA,NA,0.0833333333333333,29715143.7369095,1,"1","1","1","1","1","1","Astatotilapia burtoni",-139.65911
NA,NA,0.0833333333333333,29715143.7369095,0.666666666666667,"0","1","0","1","1","1","Astatotilapia calliptera",-167.815499
NA,NA,0.0833333333333333,23730757.5450827,0.166666666666667,"0","0","0","0","1","0","Astyanax mexicanus",-143.16457
NA,NA,NA,17640357.0140121,NA,NA,NA,NA,NA,NA,NA,"Austrofundulus limnaeus",-144.39074
NA,NA,0.166666666666667,48584700.732382,0.333333333333333,"0","0","0","0","1","1","Betta splendens",-152.391588
NA,1.02272395222075,0.333333333333333,116909724.980836,0.166666666666667,"0","0","0","1","0","0","Boleophthalmus pectinirostris",-124.717916
NA,1.09473684210526,0.166666666666667,58859004.8540951,0.333333333333333,"0","0","0","0","1","1","Callorhinchus milii",-108.549528
5.50931174089069,11.3219746382307,0.333333333333333,154771210.269086,0.666666666666667,"1","0","0","1","1","1","Carassius auratus",-125.192651
6.13571428571429,NA,0.75,312301783.484059,NA,NA,NA,NA,NA,NA,NA,"Chanos chanos",-141.01026
NA,2.23504083735533,NA,81826095.4366334,NA,NA,NA,NA,NA,NA,NA,"Clupea harengus",-129.0867
NA,NA,0.0833333333333333,48307240.715276,0.5,"0","1","0","0","1","1","Cottoperca gobio",-141.0667
NA,NA,0.166666666666667,52493875.3244592,0.333333333333333,"0","1","0","0","1","0","Cynoglossus semilaevis",-139.79225
