"","ClassActinopterygii","ClassAves","ClassMammalia","ClassReptilia","nchar","haddock_score_mean","haddock_score_sd","ForStrat.ground","ForStrat.understory","ForStrat.arboreal","ForStrat.aerial","ForStrat.marine","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","female_maturity_d","male_maturity_d","incubation_d","weaning_d","log_litterclutch_size_n","litters_or_clutches_per_y","log_inter_litterbirth_interval_y","log_birthhatching_weight_g","log_weaning_weight_g","log_adult_body_mass_g","maximum_longevity_y","infantMortalityRate_per_year","mortalityRateDoublingTime_y","metabolicRate_W","temperature_K","gestation_d","longevity_y","log_female_body_mass_g","log_male_body_mass_g","log_no_sex_body_mass","adult_svl_cm","diet_breadth","range_size","major_habitat_type_breadth","tnc_ecoregion_breadth","AA_30_positive","OrderCarnivora","OrderChiroptera","OrderPasseriformes","OrderPerciformes","OrderPrimates","OrderRodentia","ClassActinopterygii.1","ClassAves.1","ClassMammalia.1","ClassReptilia.1","above_haddock_median"
"1",1,0,0,0,817,-120.65368,1.82651380856781,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.75,0.333333333333333,85965381.2624665,0.166666666666667,0.0948275862068965,0,0,0,0,1,0,0,1,0,0,0,1
"2",0,0,1,0,805,-127.07811,1.7479599082931,1,0,0,0,0,0,0,1,598.985,456,88,107,1.11185751541813,0.7,0.395145099532606,6.14274683130477,7.57044325205737,10.8312703964049,20.5,NA,NA,61.77,312.15,90.12,19,NA,NA,10.5570125393602,149.0215,0.1,5119197.78825015,0.5,0.30952380952381,1,1,0,0,0,0,0,0,0,1,0,1
"3",0,0,0,1,805,-114.98521,2.00284547440219,NA,NA,NA,NA,NA,NA,NA,NA,4605,4380,65,NA,3.68135118769314,1,NA,3.91202300542815,NA,11.0348896640272,85,NA,NA,0.1539,295.31,NA,56,10.7747809184795,NA,10.7747809184795,NA,NA,1137234.22119851,0.375,0.154761904761905,0,0,0,0,0,0,0,0,0,0,1,1
"4",0,0,0,1,803,-114.48673,3.73415755538872,NA,NA,NA,NA,NA,NA,NA,NA,2191.44,NA,70,NA,3.00815479355255,1,NA,3.40119738166216,NA,9.58877680769643,70,NA,NA,NA,NA,NA,60.7,9.28266103355581,NA,9.58877680769643,NA,NA,10491.5333034761,0.0625,0.0119047619047619,0,0,0,0,0,0,0,0,0,0,1,1
"5",0,0,0,0,773,-127.13681,2.58398078185578,0,0,0,0,1,NA,NA,NA,4015,1460,NA,NA,3.43398720448515,NA,5.89989735358249,NA,NA,6.84933135884442,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,62999554.2503448,0.416666666666667,0.120689655172414,0,0,0,0,0,0,0,0,0,0,0,1
"6",1,0,0,0,807,-120.615436,2.45742292675884,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,85965381.2624665,0.333333333333333,0.112068965517241,0,0,0,0,1,0,0,1,0,0,0,1
"7",1,0,0,0,806,-148.27299,4.76363182793455,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.25,0.833333333333333,39378816.7750464,0.3125,0.428571428571429,0,0,0,0,1,0,0,1,0,0,0,0
"8",1,0,0,0,815,-135.73343,1.86821664937448,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,86631265.0441388,0.25,0.0387931034482759,0,0,0,0,1,0,0,1,0,0,0,0
"9",0,1,0,0,805,-109.522796,2.27881951831401,1,0,0,0,0,0,0,1,365,365,26.5,NA,2.35280280915466,1,NA,3.42426265459315,NA,7.02197642307216,29.1,NA,NA,4.068,NA,NA,29,7.00261080999482,7.09547888506509,7.01391547481053,57.5,0.5,13498238.9056437,0.75,0.464285714285714,0,0,0,0,0,0,0,0,1,0,0,1
"10",0,0,0,1,814,-119.235404,2.13830477511821,0,0,1,0,0,0,0,1,258.74,258.74,45,NA,0.262364264467491,6,NA,-1.51412773262978,NA,0.898126761246484,10,NA,NA,NA,NA,42,7,0.832909122935104,NA,0.959350221334602,4.9715,0.1,1182017.81161645,0.5,0.19047619047619,0,0,0,0,0,0,0,0,0,0,1,1
